name,url,dob,collage,from_year,to_year,pos,height,weight,nba_debut,career_length,g,pts,trb,ast
Alaa Abdelnaby,https://www.basketball-reference.com/players/a/abdelal01.html,"June 24, 1968",Duke,1991,1995,F-C,6-10,240,"November 2, 1990",5 years,256,5.7,3.3,0.3
Zaid Abdul-Aziz,https://www.basketball-reference.com/players/a/abdulza01.html,"April 7, 1946",Iowa State,1969,1978,C-F,6-9,235,"October 16, 1968",10 years,505,9.0,8.0,1.2
Kareem Abdul-Jabbar,https://www.basketball-reference.com/players/a/abdulka01.html,"April 16, 1947",UCLA,1970,1989,C,7-2,225,"October 18, 1969",20 years,1560,24.6,11.2,3.6
Mahmoud Abdul-Rauf,https://www.basketball-reference.com/players/a/abdulma02.html,"March 9, 1969",LSU,1991,2001,G,6-1,162,"November 10, 1990",9 years,586,14.6,1.9,3.5
Tariq Abdul-Wahad,https://www.basketball-reference.com/players/a/abdulta01.html,"November 3, 1974",Michigan,1998,2003,F,6-6,223,"November 11, 1997",6 years,236,7.8,3.3,1.1
Shareef Abdur-Rahim,https://www.basketball-reference.com/players/a/abdursh01.html,"December 11, 1976",California,1997,2008,F,6-9,225,"November 1, 1996",12 years,830,18.1,7.5,2.5
Tom Abernethy,https://www.basketball-reference.com/players/a/abernto01.html,"May 6, 1954",Indiana,1977,1981,F,6-7,220,"November 19, 1976",5 years,319,5.6,3.2,1.2
Forest Able,https://www.basketball-reference.com/players/a/ablefo01.html,"July 27, 1932",Western Kentucky,1957,1957,G,6-3,180,"October 28, 1956",1 year,1,0.0,1.0,1.0
John Abramovic,https://www.basketball-reference.com/players/a/abramjo01.html,"February 9, 1919",Salem University,1947,1948,F,6-3,195,"November 2, 1946",2 years,56,9.5,-,0.7
Álex Abrines,https://www.basketball-reference.com/players/a/abrinal01.html,"August 1, 1993",None,2017,2019,G-F,6-6,200,"October 26, 2016",3 years,174,5.3,1.4,0.5
Precious Achiuwa,https://www.basketball-reference.com/players/a/achiupr01.html,"September 19, 1999",Memphis,2021,2023,F,6-8,225,"December 23, 2020",3 years,189,7.8,5.3,0.9
Alex Acker,https://www.basketball-reference.com/players/a/ackeral01.html,"January 21, 1983",Pepperdine,2006,2009,G,6-5,185,"February 21, 2006",2 years,30,2.7,1.0,0.5
Don Ackerman,https://www.basketball-reference.com/players/a/ackerdo01.html,"September 4, 1930",Long Island University,1954,1954,G,6-0,183,"October 31, 1953",1 year,28,1.5,0.5,0.8
Mark Acres,https://www.basketball-reference.com/players/a/acresma01.html,"November 15, 1962",Oral Roberts,1988,1993,F-C,6-11,220,"November 6, 1987",6 years,375,3.6,4.1,0.5
Bud Acton,https://www.basketball-reference.com/players/a/actonbu01.html,"January 11, 1942",Hillsdale College,1968,1968,F,6-6,210,"February 1, 1968",1 year,23,3.3,2.0,0.5
Quincy Acy,https://www.basketball-reference.com/players/a/acyqu01.html,"October 6, 1990",Baylor,2013,2019,F-C,6-7,240,"November 7, 2012",7 years,337,4.9,3.5,0.6
Alvan Adams,https://www.basketball-reference.com/players/a/adamsal01.html,"July 19, 1954",Oklahoma,1976,1988,C-F,6-9,210,"October 25, 1975",13 years,988,14.1,7.0,4.1
Don Adams,https://www.basketball-reference.com/players/a/adamsdo01.html,"November 27, 1947",Northwestern,1971,1977,F,6-6,210,"October 13, 1970",7 years,523,8.8,5.6,1.9
George Adams,https://www.basketball-reference.com/players/a/adamsge01.html,"May 15, 1949",Gardner-Webb University,1973,1975,F-G,6-5,210,,3 years,215,7.7,4.1,1.5
Hassan Adams,https://www.basketball-reference.com/players/a/adamsha01.html,"June 20, 1984",Arizona,2007,2009,G,6-4,220,"November 1, 2006",2 years,73,2.5,1.2,0.2
Jaylen Adams,https://www.basketball-reference.com/players/a/adamsja01.html,"May 4, 1996",St. Bonaventure,2019,2021,G,6-0,225,"October 17, 2018",3 years,41,2.7,1.5,1.6
